Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-January-2018,759.50,763.90,745.00,747.70,754.435584604212055192,27540,913,20777156.00,9259,33.62,18.90,-11.80
9-January-2018,746.05,759.65,744.00,755.25,753.409043145011744344,32356,920,24377303.00,12654,39.11,15.65,9.20
8-January-2018,755.00,756.15,742.15,745.40,749.774895178197064989,22896,955,17166846.00,4462,19.49,14.00,-9.60
5-January-2018,746.10,754.90,745.15,750.95,750.891537961713400309,40014,1791,30046174.00,11071,27.67,9.75,4.85
4-January-2018,740.00,754.40,738.30,743.60,746.787360576448524331,40524,1417,30262811.00,12931,31.91,16.10,3.60
3-January-2018,712.00,739.00,712.00,736.15,732.198976545842217484,23450,912,17170066.00,7345,31.32,27.00,24.15
2-January-2018,729.55,729.55,712.10,714.50,720.931016278046634403,11365,557,8193381.00,2269,19.96,17.45,-15.05
1-January-2018,727.00,735.90,721.45,726.95,730.359534011783610069,7468,354,5454325.00,2706,36.23,14.45,-0.05
29-December-2017,715.30,731.00,713.05,728.95,725.256881451360650609,12788,727,9274585.00,4537,35.48,17.95,13.65
28-December-2017,717.00,730.00,704.75,710.50,712.481479662016113185,20356,672,14503273.00,6803,33.42,25.25,-6.50
27-December-2017,721.75,725.15,716.80,718.20,721.931029517638588912,6945,252,5013811.00,2162,31.13,8.35,-3.55
26-December-2017,723.15,729.00,716.50,725.45,726.289155023286759813,7515,305,5458063.00,3055,40.65,12.50,2.30
22-December-2017,724.50,731.70,720.35,722.05,724.063855421686746987,19090,1514,13822379.00,11667,61.12,11.35,-2.45
